Q1,Q2,Q3,Q4,Q5,Q6,Recommendation,RecIcon,Effect,EffectIcon
Always,Very stressed,High,Always,No,Very poorly,"Schedule a calm conversation to express your feelings honestly.","🗣️","Open communication can reduce misunderstandings and tension.","💬"
*,Often,Moderate,*,No,*,"Take a break from the situation to cool down before responding.","⏸️","Pausing can prevent escalation and help you think clearly.","🧠"
Rarely,Confident,Low,Occasionally,Yes,Well,"Keep up your positive relationship habits and support your partner or friend.","🤝","Positive routines help maintain low stress.","🌈"
*,*,*,Frequently,*,*,"Set healthy boundaries and respect each other's space.","🚧","Boundaries help prevent resentment and maintain respect.","⚖️"
*,*,*,*,Supported,Well,"Lean on your support network and talk to a trusted friend.","👥","Support from others can help you gain perspective.","🔎"
Sometimes,Neutral,Moderate,Sometimes,Neutral,Neutral,"Practice active listening and validate the other person's feelings.","👂","Feeling heard can reduce conflict and stress.","🤗"
Often,*,High,*,*,*,"Consider couples or relationship counseling if issues persist.","🧑‍⚕️","Professional help can provide new tools for resolution.","🛠️"
*,*,*,*,*,*,"Reflect on positive moments in the relationship and express gratitude.","🙏","Gratitude can improve your outlook and strengthen bonds.","💖"
*,*,*,*,*,*,"Limit digital distractions during important conversations.","📵","Focused attention shows respect and care.","👀"
*,*,*,*,*,*,"Set realistic expectations and communicate them clearly.","🎯","Clear expectations reduce disappointment and stress.","✅"
*,*,*,*,*,*,"Plan enjoyable activities together to rebuild connection.","🎉","Shared experiences can renew closeness.","😊"
*,*,*,*,*,*,"Apologize sincerely when you make a mistake.","🙏","Apologies can heal hurt feelings and restore trust.","🩹"
*,*,*,*,*,*,"Practice self-care and maintain your own interests outside the relationship.","🧘","Personal well-being supports healthy relationships.","🌱"
*,*,*,*,*,*,"Use 'I feel' statements instead of blaming language.","💬","Non-blaming language reduces defensiveness.","🕊️"
*,*,*,*,*,*,"Celebrate small wins and progress in resolving conflicts.","🎊","Recognizing progress builds hope and motivation.","🌟"
*,*,*,*,*,*,"If you feel unsafe, seek help from a trusted adult or counselor immediately.","🚨","Your safety is the top priority.","❗"
*,*,*,*,*,*,"Agree on a regular check-in to discuss relationship health.","📅","Routine check-ins can prevent issues from building up.","🔄"
*,*,*,*,*,*,"Respect differences and find common ground through compromise.","🤲","Compromise fosters mutual respect and satisfaction.","🤝"
*,*,*,*,*,*,"Write a letter to express your feelings if talking is difficult.","✉️","Writing can help organize thoughts and reduce anxiety.","📝"
*,*,*,*,*,*,"Ask for feedback on how you can support each other better.","🔍","Feedback helps both people grow and feel valued.","📈"
