StressLevel,ResourceType,Title,Link,Description,Icon
High,Book,"The Relaxation & Stress Reduction Workbook","https://www.amazon.com/dp/1626254767","A practical guide to managing stress with proven techniques.","📚"
High,Video,"Guided Meditation for Stress","https://www.youtube.com/watch?v=inpok4MKVLM","A 10-minute meditation to calm your mind.","🎥"
High,Activity,"Progressive Muscle Relaxation","https://www.verywellmind.com/how-to-practice-progressive-muscle-relaxation-3144736","Step-by-step muscle relaxation exercise.","🧘"
Medium,Book,"Mindfulness for Students","https://www.amazon.com/dp/1789561642","Mindfulness strategies for academic life.","📖"
Medium,Video,"Study Break Yoga","https://www.youtube.com/watch?v=QZzrR5b0Pp8","Quick yoga routine to refresh your mind.","🧘‍♂️"
Medium,Activity,"Pomodoro Timer","https://pomofocus.io/","Boost focus with the Pomodoro study method.","⏲️"
Low,Book,"Atomic Habits","https://www.amazon.com/dp/0735211299","Build good habits and reduce stress long-term.","📘"
Low,Video,"How to Stay Motivated","https://www.youtube.com/watch?v=ZXsQAXx_ao0","Tips for keeping motivation high.","💡"
Low,Activity,"Gratitude Journaling","https://positivepsychology.com/gratitude-journal/","Simple journaling to maintain positivity.","📝"
High,Book,"Burnout: The Secret to Unlocking the Stress Cycle","https://www.amazon.com/dp/1984818325","Science-based strategies to break the stress cycle.","📕"
High,Video,"Box Breathing Technique","https://www.youtube.com/watch?v=tEmt1Znux58","A simple breathing exercise to quickly reduce stress.","🌬️"
High,Activity,"5-4-3-2-1 Grounding Exercise","https://www.therapistaid.com/worksheets/grounding-techniques.pdf","A sensory exercise to calm anxiety and stress.","🖐️"
High,Game,"Calm App","https://www.calm.com/","Guided meditations and sleep stories for stress relief.","📱"
High,Activity,"Take a Nature Walk","https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/","Walking in nature can lower stress hormones.","🌳"
High,Book,"The Stress-Proof Brain","https://www.amazon.com/dp/1626252667","Mindfulness and neuroscience tools for resilience.","🧠"

Medium,Book,"The Miracle Morning","https://www.amazon.com/dp/0979019710","Morning routines to boost productivity and reduce stress.","🌅"
Medium,Video,"Stretching for Study Breaks","https://www.youtube.com/watch?v=2L2lnxIcNmo","Gentle stretches to refresh your body and mind.","🤸"
Medium,Activity,"Coloring for Calm","https://www.justcolor.net/","Printable coloring pages for relaxation.","🎨"
Medium,Game,"Headspace App","https://www.headspace.com/","Meditation and mindfulness for everyday stress.","📲"
Medium,Activity,"Journaling Prompts","https://www.therapistaid.com/worksheets/journal-prompts.pdf","Reflective writing to process emotions.","📓"
Medium,Book,"The Now Habit","https://www.amazon.com/dp/1585425524","Overcome procrastination and stress with positive habits.","⏳"

Low,Book,"The Happiness Advantage","https://www.amazon.com/dp/0307591549","How positive psychology fuels success.","😊"
Low,Video,"Power of Positive Thinking","https://www.youtube.com/watch?v=2XlDa3gPp6A","Short video on staying optimistic.","🌟"
Low,Activity,"Random Acts of Kindness","https://www.randomactsofkindness.org/","Doing good for others boosts your mood.","🤝"
Low,Game,"Peak Brain Training","https://www.peak.net/","Fun games to keep your mind sharp and positive.","🧩"
Low,Activity,"Vision Board Creation","https://www.mindtools.com/a4wo118/vision-boards","Visualize your goals for motivation.","🖼️"
Low,Book,"Drive: The Surprising Truth About What Motivates Us","https://www.amazon.com/dp/1594484805","Understanding motivation for long-term happiness.","🚗"
High,Book,"Why Zebras Don't Get Ulcers","https://www.amazon.com/dp/0805073698","A classic book on stress and how to manage it.","🦓"
High,Video,"Progressive Muscle Relaxation for Anxiety","https://www.youtube.com/watch?v=1nZEdqcGVzo","Guided muscle relaxation for deep calm.","💆"
High,Activity,"Guided Journaling for Stress","https://www.therapistaid.com/worksheets/journal-prompts.pdf","Prompts to help you process stress.","📝"
High,Game,"Breathe2Relax App","https://apps.apple.com/us/app/breathe2relax/id425720246","Interactive breathing exercises for stress relief.","📲"
High,Activity,"Digital Detox Challenge","https://www.digitaldetox.org/","Take a break from screens to reset your mind.","📵"

Medium,Book,"The Little Book of Mindfulness","https://www.amazon.com/dp/1856753530","Simple mindfulness practices for everyday life.","🌱"
Medium,Video,"Mindful Breathing Meditation","https://www.youtube.com/watch?v=nmFUDkj1Aq0","Short video to help you reset and refocus.","🌬️"
Medium,Activity,"Walking Meditation","https://www.mindful.org/daily-mindful-walking-practice/","Combine movement and mindfulness.","🚶"
Medium,Game,"Smiling Mind App","https://www.smilingmind.com.au/","Free mindfulness app for students.","📱"
